label,OOF_tuned,LB_public,gap,Δ_vs_primary,notes,composition_json,w__bias_alt,w__bias_alt2,w__l1_override,w_lr_metastack_v1_iso,w_lr_metastack_v2_iso,w_macrorec_hybrid075_iso,w_mlp_metastack_iso,w_n5b_v1_geo_mean,w_p3_perturbed_v1_iso,w_realmlp,w_recipe_full_te,w_recipe_full_te_catboost,w_recipe_pseudolabel,w_recipe_pseudolabel_seed7labeler,w_sklearn_rf_meta,w_soft_distill,w_soft_distill_small,w_xgb_metastack_combined_v6_iso,w_xgb_metastack_iso,w_xgb_metastack_iso_perfold,w_xgb_metastack_n5b_iso,w_xgb_metastack_v3_iso,w_xgb_metastack_v4,w_xgb_metastack_v6,w_xgb_nonrule_iso,w_xgb_nonrule_iso_perfold
recipe_x_pseudolabel_50_50,0.98012,0.97998,0.00014,-0.00096,2-way recipe × pseudo_s1 50/50 log-blend,"{""recipe_full_te"": 0.5, ""recipe_pseudolabel"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tier1c_meta_v4_a035,0.98121,0.97992,0.00129,-0.00102,Meta v4 (with ET+kNN bank-add) at α=0.35. Gap +0.00129.,"{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""xgb_metastack_v4"": 0.35}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0525,0.0
lr_metastack_v1,0.98167,0.97991,0.00176,-0.00103,"LR meta-stacker (C=1.0, balanced) at α=0.50. Gap +0.00176.","{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""lr_metastack_v1_iso"": 0.5}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
tier1c_lr_v2_iso_4stack_a050,0.98167,0.97991,0.00176,-0.00103,LR v2 at α=0.50. Gap +0.00176 (= LR v1's gap; α 0.30→0.50 inflated 3x).,"{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""lr_metastack_v2_iso"": 0.5}",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
n5b_angle2_swap_a425,0.98101,0.97988,0.00113,-0.00106,N5b angle2 swap at α=0.425. Gap +0.00113.,"{""recipe_full_te"": 0.0863, ""recipe_pseudolabel"": 0.1208, ""recipe_pseudolabel_seed7labeler"": 0.138, ""realmlp"": 0.0863, ""xgb_nonrule_iso"": 0.0345, ""xgb_metastack_n5b_iso"": 0.425}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.0863,0.0,0.1208,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.0,0.0345,0.0
p3_perturbed_v1,0.98122,0.97955,0.00167,-0.00139,P3 perturbed meta v1 at α=0.50. Gap +0.00177.,"{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""p3_perturbed_v1_iso"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
recipe_full_te,0.97967,0.97939,0.00028,-0.00155,Pure V10 recipe single model,"{""recipe_full_te"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recipe_full_te_catboost,0.97936,0.97935,1e-05,-0.00159,"CatBoost on recipe FE, single model. Tightest calibration in ladder (gap +0.00001).","{""recipe_full_te_catboost"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_distill_small,0.98066,0.97865,0.00201,-0.00229,"Soft distill small (depth=3, rounds=1500). Gap +0.00201 — capacity reduction insufficient.","{""soft_distill_small"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_distill,0.98096,0.9785,0.00246,-0.00244,"Soft distill (depth=4, rounds=3000). Gap +0.00246 — student memorizes teacher OOF noise.","{""soft_distill"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
